"Subscription","Resource group","Total","NoOwner","NoCostCenter","NoEnv"
"Ulterra Azure Production","azurebackuploganalytics","1","1","1","1"
"Pay-As-You-Go Dev/Test","udtdevbcnet-asr","1","1","1","1"
"Ulterra Azure Production","ciscomeraki-uaen","1","1","1","1"
"Pay-As-You-Go Dev/Test","udtdevbcsql_rsg","1","1","1","0"
"Ulterra Azure Production","dashboards","1","1","1","1"
"Ulterra Azure Production","ai_uhydraulicsapi-testing_85f18b52-cb75-472a-bb9c-e4cfeb739621_managed","1","1","1","1"
"Ulterra Azure Production","ai_uconnectapi_0a59b3d2-f432-4648-8068-3e7290602f6e_managed","1","1","1","1"
"Ulterra Azure Production","azeastusproductiondmz","1","1","1","1"
"Pay-As-You-Go Dev/Test","azurebackuprg_centralus_1","1","1","1","1"
"Ulterra Azure Production","azeastusproduction-asr-1","1","1","1","1"
"Ulterra Azure Production","prod_ulterra_platform","1","1","1","1"
"Ulterra Azure Production","ai_uconnectapi-testing_dfb4c600-69b4-408e-80cb-39a6a8c76abb_managed","1","1","1","1"
"Ulterra Azure Production","ai_ulterranotificationapi_7c059bd3-9757-40ed-8ccd-0e73f2710703_managed","1","1","1","1"
"Ulterra Azure Production","azeastsftp","1","1","1","1"
"Ulterra Azure Production","vs-ulterra-group","1","1","1","1"
"Ulterra Azure Production","ciscomerakirg","1","1","1","1"
"Ulterra Azure Production","ai_bitlabapi-testing_fa46a714-23b2-48e0-b58d-b58a442338d7_managed","1","1","1","1"
"Ulterra Azure Production","ma_ulterra-eastus-prod-azmonwks_eastus_managed","1","1","1","1"
"Ulterra Azure Production","citrix-xd-5c7901a8-b58f-42fb-9d09-2787858d0768-m80ns","1","1","1","1"
"Ulterra Azure Production","azctxstorage","1","1","1","1"
"Pay-As-You-Go Dev/Test","defaultresourcegroup-cus","1","1","1","1"
"Ulterra Azure Production","ai_iphoneconnectapp_85753717-17d2-4f80-a1a3-15a234a74809_managed","1","1","1","1"
"Ulterra Azure Production","azureeastcitrix","1","1","1","1"
"Ulterra Azure Production","loganalyticsdefaultresources","1","1","1","1"
"Ulterra Azure Production","citrix-xd-c65e9d43-0e33-42c2-9dbd-d431537d4f2b-lwnzm","1","1","1","1"
"Ulterra Azure Production","b2cweb","1","1","1","1"
"Ulterra Azure Production","azuaenorthdcr","1","1","1","0"
"Ulterra Azure Production","cenus-sandbox","1","1","1","1"
"Ulterra Azure Production","visualstudioonline-a021b891793c4610904d0236afd23198","1","1","1","1"
"Ulterra Azure Production","ai_udevapps_87de5f47-ed29-4c9c-a7be-d7638ebc9296_managed","1","1","1","1"
"Ulterra Azure Production","arcenabledvms","1","1","1","0"
"Ulterra Azure Production","azeastusproduction-asr-2","1","1","1","1"
"Azure subscription 1","adira-test-deployment-1","1","1","1","1"
"Ulterra Azure Production","vdc365","1","1","1","1"
"Ulterra Azure Production","resourcemoverrg-westus-eastus-eus2","1","1","1","1"
"Azure subscription 1","networkwatcherrg","1","1","1","1"
"Ulterra Azure Production","azdevcenus","1","1","1","1"
"Azure subscription 1","edr_data_unstructured","1","1","1","1"
"Azure subscription 1","defaultresourcegroup-eus","1","1","1","1"
"Visual Studio Professional Subscription","defaultresourcegroup-eus","1","1","1","1"
"Ulterra Azure Production","built-in-identity-rg","1","1","1","1"
"Ulterra Azure Production","cloud-shell-storage-southcentralus","1","1","1","1"
"Ulterra Azure Production","solarwindsmonitoring","1","1","1","1"
"Ulterra Azure Production","ai_upostapi-testing_590feb2b-aef9-4c32-964b-5133852dcb50_managed","1","1","1","1"
"Ulterra Azure Production","azurebackuprg_southcentralus_1","1","1","1","1"
"Ulterra Azure Production","ai_uconnect-testing_2f461f93-ebf1-42a8-b33f-990cdfba6bd0_managed","1","1","1","1"
"Ulterra Azure Production","ai_uconnectdev_c40c15a2-a610-48f1-9f8d-301b7f66d961_managed","1","1","1","1"
"Pay-As-You-Go Dev/Test","merakivmx","1","1","1","1"
"Ulterra Azure Production","resourcemoverrg-westus-centralus-eus2","1","1","1","1"
"Pay-As-You-Go Dev/Test","defaultresourcegroup-wus2","1","1","1","1"
"Ulterra Azure Production","ai_fleetmanagerapi-testing_0e012d93-018e-48a6-8a6a-cee5bb1753e2_managed","1","1","1","1"
"Ulterra Azure Production","azupdatemgr-rg","1","1","1","0"
"Pay-As-You-Go Dev/Test","ai_startstopvmsudtdevclientsrg_a2afc426-ad6b-4493-8227-44f161b98d52_managed","1","1","1","1"
"Ulterra Azure Production","ciscomerakiuaen4","1","1","1","1"
"Pay-As-You-Go Dev/Test","udtdevservers_externalaccess-asr","1","1","1","1"
"Pay-As-You-Go Dev/Test","resourcemoverrg-westus-centralus-eus2","1","1","1","1"
"Ulterra Azure Production","azcloudfilesgroup","2","2","2","2"
"Pay-As-You-Go Dev/Test","dev-bastion-rsg","2","2","2","2"
"Ulterra Azure Production","ulterra-eastus-dcrrsg","2","2","2","0"
"Pay-As-You-Go Dev/Test","defaultresourcegroup-wus","2","2","2","2"
"Ulterra Azure Production","azureapp-auto-alerts-be7b81-swinters_admin_uconnect_onmicrosoft_com","2","2","2","2"
"Ulterra Azure Production","azureapp-auto-alerts-378e52-dgreer_admin_uconnect_onmicrosoft_com","2","2","2","2"
"Ulterra Azure Production","azeastazureactiongroups","2","2","2","2"
"Pay-As-You-Go Dev/Test","azureapp-auto-alerts-a8059b-dgreer_admin_uconnect_onmicrosoft_com","2","2","2","2"
"Ulterra Azure Production","idc2ctxunidesk4-group","2","2","2","2"
"Ulterra Azure Production","azureapp-auto-alerts-e6cb6b-acoleman_ulterra_com","2","2","2","2"
"Pay-As-You-Go Dev/Test","udtdevmonitor_rg","2","2","2","1"
"Ulterra Azure Production","natgwrgcus","2","2","2","1"
"Ulterra Azure Production","azureeastfileshares","2","2","2","2"
"Ulterra Azure Production","todo-uconnect","2","2","2","2"
"Ulterra Azure Production","azureapp-auto-alerts-fb8cb0-mrosales_admin_uconnect_onmicrosoft_com","2","2","2","2"
"Ulterra Azure Production","default-applicationinsights-eastus","2","2","2","2"
"Ulterra Azure Production","azureuaenbrs","2","2","2","2"
"Pay-As-You-Go Dev/Test","azureapp-auto-alerts-be7b81-swinters_admin_uconnect_onmicrosoft_com","2","2","2","2"
"Ulterra Azure Production","azureapp-auto-alerts-a8059b-dgreer_admin_uconnect_onmicrosoft_com","2","2","2","2"
"Ulterra Azure Production","azureeastkvgroup","2","2","2","2"
"Ulterra Azure Production","azurecenbrs","2","2","2","2"
"Ulterra Azure Production","azcenusdevnetwork","2","2","2","2"
"Azure subscription 1","adira-llm-service","2","2","2","2"
"Pay-As-You-Go Dev/Test","azureapp-auto-alerts-378e52-dgreer_admin_uconnect_onmicrosoft_com","2","2","2","2"
